ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM Discapacidad,IVM Educación,IVM Habitabilidad,IVM Familiar,IVM Participación,IVM CSE Familia,IVM CSE Comunal
22621,1,COLEGIO CALBUCO,Particular Subvencionado,Urbano,10,101,10102,Calbuco,159,40.7876573563705,49,38,48,24,46.5690738192128,2.32369337006369,8.18143507305427,20.0513174694371,29.5384516815821,1.81290937426692,45.792321575418,33.6887001344337
22623,8,COLEGIO AYELEN,Particular Subvencionado,Urbano,10,102,10205,Dalcahue,124,41.0070942477004,40,28,37,19,42.0803381850515,1.5944498936571,11.1275811291071,19.7892449507632,29.5213937788201,1.58100671382618,52.4967674003959,36.3215647581103
22629,7,COLEGIO LOS CONQUISTADORES,Particular Subvencionado,Urbano,14,141,14101,Valdivia,284,41.5946874647364,77,77,84,46,49.2512614617888,3.14484281845226,10.6679966537437,20.5651853244616,31.0106308055694,0.504418200328426,48.3419039674164,14.5717178836853
22639,4,ESCUELA HOSPITALARIA VALDIVIA,Particular Subvencionado,Urbano,14,141,14101,Valdivia,157,43.1924771990137,1,5,7,2,45.0925504017515,1.88296939822363,12.1343335494932,22.5392137944876,21.9411300076245,4.32368734376755,57.5993505656035,14.5717178836853
22641,6,COLEGIO SAGRADA FAMILIA,Particular Subvencionado,Urbano,10,104,10403,Hualaihué,124,40.3531702639661,50,23,30,21,41.6385556313046,3.20735311946355,10.8367897212555,19.8297601500308,32.6923221584243,1.36354535197994,48.5645209152511,37.4130183495311
22646,7,ROYAL SCHOOL,Particular Subvencionado,Urbano,10,103,10301,Osorno,157,53.4908459998691,0,0,0,2,31.9370118968732,0.0,10.3899862791656,31.3781217629581,67.4305570096221,2.74058763908639,69.8204943057191,16.8332185178464
22650,5,ESCUELA PROFESORA ELIANA TRIVIÑO MARQUEZ,Particular Subvencionado,Rural,10,102,10210,Quinchao,157,44.0213478087701,4,5,5,4,46.1312394065946,0.0,12.0825514114821,20.7326880843017,30.8045197071248,0.542867155296148,54.9634684082034,44.2191258828644
22656,4,COLEGIO LLACOLEN,Particular Subvencionado,Rural,10,102,10208,Quellón,157,47.1218906770443,0,0,4,1,51.6326035203621,0.0,9.8014522771958,22.5473208051218,29.3889640784776,0.0,53.4465321038698,33.5662276210821
22657,2,COLEGIO PARTICULAR GOLETA ANCUD,Particular Subvencionado,Urbano,10,102,10202,Ancud,43,41.353672883608,15,11,10,7,38.5507101133092,1.97054937023403,10.0568285458919,19.9062913053739,36.0570603787137,0.757489053901602,52.8281995591473,22.975614960253
22658,0,CENTRO EDUCACIONAL EMANUEL,Particular Subvencionado,Urbano,10,102,10208,Quellón,134,43.476785770115,32,29,42,31,44.7957924979821,1.47546109562299,10.5435417260955,21.0857942569722,34.0002096282231,2.85663630562231,53.4084501542091,33.5662276210821
22663,7,COLEGIO MONTE VERDE,Particular Subvencionado,Urbano,10,102,10201,Castro,117,41.4749577324412,32,34,33,18,46.9501371475401,1.20703166552796,10.4843643953508,19.9759351709048,29.9810563894165,2.08795059729288,44.6450431253968,20.17099358298
22668,8,CENTRO EDUCACIONAL AMADOR CARDENAS PAREDES,Particular Subvencionado,Urbano,10,102,10210,Quinchao,45,41.3122337825424,14,11,12,8,41.8729711536782,1.88296939822363,9.26197177638096,18.8203081368185,34.278709786861,2.07400214912206,50.7563511463037,44.2191258828644
22671,8,COLEGIO FRANCISCO HERNANDEZ ORTIZ,Particular Subvencionado,Rural,10,101,10102,Calbuco,35,44.1367406517283,6,11,11,7,49.2742469266044,4.47111662704882,11.8113526250526,20.1808402407729,28.5414809526594,0.558377645447466,59.6534439115766,33.6887001344337
22672,6,COLEGIO ALTAS CUMBRES,Particular Subvencionado,Urbano,10,101,10109,Puerto Varas,146,42.6619226234513,39,29,44,34,47.3066609475573,1.66788300036501,10.3435708698655,20.911411367995,31.8932140449353,3.74451515853154,46.5096671198461,17.681530797975
22685,8,ESCUELA PARTICULAR SAN BENITO,Particular Subvencionado,Rural,10,103,10307,San Pablo,157,44.2152449561656,4,3,2,5,38.6719400260206,2.01746721238246,18.2353583431814,18.6833086303242,39.3978440724318,0.697972056809333,57.1366702919247,39.0535633113874
22686,6,ESCUELA BASICA LAS CAMELIAS,Municipal DAEM,Urbano,10,101,10101,Puerto Montt,195,47.2777654574701,22,46,42,85,42.3332455628115,5.47271298796722,16.5818280785519,20.4024940510877,35.9135408006143,12.9634019121868,57.9931142239458,13.1692965518605
22688,2,COLEGIO BOSQUES DE ALERCE,Particular Subvencionado,Rural,10,101,10101,Puerto Montt,351,43.6078976587441,67,95,112,77,47.2286639270474,2.42710158283097,13.3763962412785,20.4195254200459,32.4512087134352,1.89748409730369,53.8623316765797,13.1692965518605
