ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM CSE Familiar,IVM Estimulación y Apoyo,IVM Familia,IVM CSE Comunal,IVM Derechos
14832,6,ESC.ESP.DE LENGUAJE DIVINA MISERICORDIA,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,46,58.5259937787465,6,14,9,17,32.2575413824168,47.7532580879198,49.7813492878121,73.9148838366745,6.83836021588605,6.52173913043478
14833,4,ESC. ESPEC.DE LENGUAJE PRINCIPITO,Particular Subvencionado,Urbano,5,58,5804,Villa Alemana,54,51.410613670199,3,3,2,0,25.2838802651343,44.1605370406938,37.9807394293703,58.5773987666659,3.27092732529567,0.0
14836,9,ESCUELA ESP. DE LENGUAJE YIREH,Particular Subvencionado,Urbano,5,58,5802,Limache,25,54.3572742196179,7,6,6,6,26.0159504580972,47.0732290305347,46.9085791885693,60.5001527951336,15.5461728806442,7.87618750821109
14837,7,JARDIN INFANTIL BURBUJITAS,Particular Subvencionado,Urbano,5,55,5502,Calera,34,50.716556833008,9,14,7,4,35.3598989230011,39.9377786942413,44.4047082625095,71.1926910593907,6.06516121282702,2.22864200216708
14838,5,PARVULARIO EL OLIVITO,Particular Subvencionado,Urbano,5,55,5503,Hijuelas,54,62.0765695834825,0,1,3,2,19.6819125501174,45.3405015092491,39.171582765805,76.8097605042014,28.8061823599193,0.0
14839,3,ESC. ESP. DE LENG. Y JARDIN INFANTIL NUBELUZ,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,31,52.4043491823672,7,10,9,5,24.9109860277916,39.6520721178588,31.7709114348469,73.0062326604563,6.52279116442541,4.88863406926972
14845,8,ESC.ESPEC. DE LENGUAJE ANTU,Particular Subvencionado,Urbano,5,51,5102,Casablanca,40,59.4575473311551,3,7,14,16,23.9625107430591,43.1050512209662,37.4079159352949,72.8734910993001,30.8025985161575,1.21130859631596
14847,4,JARDIN INFANTIL PIECECITOS DE NIÑOS,Particular Subvencionado,Urbano,5,58,5804,Villa Alemana,54,51.5784059316468,5,4,2,2,23.5568291182999,38.5028784172947,36.2665376525672,77.608857752354,3.31863102358014,11.6575120113355
14848,2,ESCUELA PART. ANNY SCHOOL,Particular Subvencionado,Urbano,5,55,5504,La Cruz,54,56.4319778868645,1,6,4,5,26.6158298949186,44.8261392151661,54.8240688127779,70.0366105220719,10.4604230261037,9.27827149078991
14854,7,ESC. ESPEC. DE LENGUAJE PEQUENINO,Particular Subvencionado,Urbano,5,51,5101,Valparaíso,30,50.7764548392033,11,8,5,6,24.34518256322,38.8510459434895,45.8578934240311,73.152280798501,5.49667658105216,3.33333333333333
14856,3,SUNNYLAND SCHOOL,Particular Subvencionado,Urbano,5,57,5701,San Felipe,37,53.9829761858603,7,13,11,6,25.4679153908197,42.8643136592816,45.3947212087951,72.0750406193217,10.4957202822583,11.5492293032714
14859,8,ESC. ESPECIAL DE LENGUAJE EDUCATEL,Particular Subvencionado,Urbano,5,51,5101,Valparaíso,54,54.6797964985259,4,0,5,3,26.288253092395,43.4403784563213,41.1101480176069,63.877124773447,5.19137034804331,4.03769532105322
14862,8,COLEGIO NAZAREO,Particular Subvencionado,Urbano,5,51,5109,Viña del Mar,54,56.8755881360728,4,3,3,7,26.1546197232765,47.3475187173269,43.7845196953294,70.0687016181944,6.74149311510546,1.42506893684231
14863,6,ESC.ESPEC DE LENGUAJE SAN GABRIEL,Particular Subvencionado,Urbano,5,51,5107,Quintero,25,62.2880308973171,1,2,9,13,24.374324713877,47.7964834623119,36.5249826860889,72.6573934653934,25.2862248877452,13.9380937541055
14865,2,COLEGIO TECNICO ALIANZA EDUCACIONAL,Particular Subvencionado,Urbano,5,58,5802,Limache,30,61.1654547004623,3,6,6,15,24.504058633678,51.8400020540069,38.9955143373773,63.7756506950627,15.4432314995542,20.7043619877199
14870,9,COLEGIO ENTRE VALLES,Particular Subvencionado,Urbano,5,58,5804,Villa Alemana,54,47.2512150642221,7,3,6,0,21.1120812364231,35.8870552446112,33.2160646968034,70.0221929740578,3.310782805339,1.51413574539496
