ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
6135,2,ESCUELA PARTICULAR LUIS CRUZ MARTINEZ,Particular Subvencionado,Rural,9,91,9120,Villarrica,243,19.8038774749798,116,34,25,68
6163,8,LICEO JUAN SCHLEYER,Municipal DAEM,Urbano,9,91,9105,Freire,309,18.911168853425,173,29,31,76
6188,3,COLEGIO SANTA CRUZ DE FREIRE,Particular Subvencionado,Urbano,9,91,9105,Freire,142,15.1003892372577,112,12,5,13
6210,3,LICEO AGRICOLA PUQUEREO,Particular Subvencionado,Rural,9,91,9105,Freire,190,19.9634107411864,90,13,22,65
6223,5,LICEO BICENTENARIO CIENCIAS Y HUMANIDADES RBD 6223-5,Municipal DAEM,Urbano,9,91,9114,Pitrufquén,578,16.3159529800023,404,51,30,93
6230,8,LICEO MUNICIPAL LA FRONTERA,Municipal DAEM,Urbano,9,91,9114,Pitrufquén,134,20.2269374998709,74,9,10,41
6252,9,LICEO BICENTENARIO POLITECNICO PITRUFQUEN,Particular Subvencionado,Urbano,9,91,9114,Pitrufquén,705,19.9862663000111,309,94,82,220
6253,7,LICEO BICENTENARIO DE EXCELENCIA MONSEÑOR GUILLERMO HARTL,Particular Subvencionado,Urbano,9,91,9114,Pitrufquén,628,16.0511489152258,438,48,48,94
6267,7,LICEO PARTICULAR SUBV.QUINQUE,Particular Subvencionado,Rural,9,91,9114,Pitrufquén,42,22.9339700861011,21,3,3,15
6269,3,LICEO BICENTENARIO COMPLEJO EDUCACIONAL ANDRES ANTONIO GORBEA,Municipal DAEM,Urbano,9,91,9107,Gorbea,320,17.2753079582027,204,31,26,59
6270,7,LICEO JOSE VICTORINO LASTARRIA,Municipal DAEM,Urbano,9,91,9107,Gorbea,77,20.4921548966104,27,13,10,27
6301,0,LICEO BICENTENARIO DE EXCELENCIA TÉCNICO PROFESIONAL ANDRÉS BELLO,Municipal DAEM,Urbano,9,91,9109,Loncoche,309,22.2995299308801,112,26,31,140
6302,9,LICEO BICENTENARIO PADRE ALBERTO HURTADO CRUCHAGA,Municipal DAEM,Urbano,9,91,9109,Loncoche,565,18.779409315382,302,66,51,146
6336,3,COLEGIO SANTA CRUZ DE LONCOCHE,Particular Subvencionado,Urbano,9,91,9109,Loncoche,339,17.5183991484732,204,40,23,72
6348,7,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,Servicio Local de Educación(SLE),Urbano,9,91,9118,Toltén,429,19.1063098858659,232,37,40,120
6397,5,LICEO MUNICIPAL BARROS ARANA,Servicio Local de Educación(SLE),Urbano,9,91,9117,Teodoro Schmidt,94,20.3261917838767,47,8,8,31
6398,3,COMPLEJO EDUCACIONAL NUEVA ALBORADA,Servicio Local de Educación(SLE),Urbano,9,91,9117,Teodoro Schmidt,139,16.0379380563614,100,16,12,11
6452,1,LICEO REINO DE SUECIA,Servicio Local de Educación(SLE),Urbano,9,91,9116,Saavedra,213,20.9217118863223,95,20,18,80
