ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
25539,4,EJERCITO LIBERTADOR DE CERRILLOS,Servicio Local de Educación(SLE),Urbano,13,131,13102,Cerrillos,70,40.2006201445147,54,11,1,4
25540,8,COLEGIO MONTE OLIVO DE PUENTE ALTO,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,154,40.697758919468,108,18,19,9
25541,6,COLEGIO PART. JOSEFINO SANTISIMA TRINIDAD,Particular Subvencionado,Urbano,13,131,13123,Providencia,82,33.3766055729518,79,0,0,3
25542,4,COLEGIO SANTA BARBARA H.S.,Particular Subvencionado,Urbano,13,131,13125,Quilicura,222,40.4579328313903,160,13,14,35
25543,2,COLEGIO POLIV. SAN CRISTOBAL APOSTOL,Particular Subvencionado,Urbano,13,136,13604,Padre Hurtado,53,44.8337748311404,30,6,6,11
25544,0,ESC. ESP. Y BAS. FRANCES DE LA PINTANA,Particular Subvencionado,Urbano,13,131,13112,La Pintana,77,41.4047587369529,54,8,3,12
25550,5,ESC. BASICA PART. BOSTON COLLEGE LA FARFANA,Particular Subvencionado,Urbano,13,131,13119,Maipú,218,39.4112418246254,173,19,12,14
25556,4,COLEGIO SOCHIDES,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,147,44.7621638766821,69,7,18,53
25557,2,ESC BASICA PART EMILIA GONZALEZ ESPINOZA,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,82,37.640364274165,71,2,3,6
25558,0,COLEGIO PARTICULAR ALTAZOR,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,125,36.6011782485154,114,6,4,1
25561,0,ESCUELA DIVINO MAESTRO,Particular Subvencionado,Urbano,13,131,13103,Cerro Navia,55,45.7355710653838,20,2,6,27
25562,9,ESC BASICA PART SAN JOSE DE LA FAMILIA,Particular Subvencionado,Urbano,13,131,13112,La Pintana,226,40.3291978047212,152,20,22,32
25568,8,ESCUELA BAS. Y ESP. ANTILLANCA DE TALAGANTE,Particular Subvencionado,Urbano,13,136,13601,Talagante,30,41.7908115917572,21,1,5,3
25571,8,COLEGIO EL RACO,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,188,40.8725898566893,128,13,17,30
25573,4,ESC. DE PARV. Y ESP. PART. CENTILEN,Particular Subvencionado,Urbano,13,131,13112,La Pintana,64,39.9468316478074,48,4,5,7
25576,9,ESCUELA BASICA PART. SAN JORGE DE PUDAHUEL,Particular Subvencionado,Urbano,13,131,13124,Pudahuel,110,41.8685857270015,69,8,16,17
25577,7,COLEGIO PART. FAMILIA DE NAZARETH,Particular Subvencionado,Urbano,13,131,13110,La Florida,81,39.2978339827021,69,4,5,3
25580,7,COLEGIO PARTICULAR MIRADOR,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,180,37.6643248204541,161,6,5,8
25589,0,COLEGIO JESUS SERVIDOR,Particular Subvencionado,Urbano,13,131,13122,Peñalolén,161,37.1637125015458,139,10,2,10
25592,0,INSTITUTO SAN MIGUEL,Corporación Municipal,Urbano,13,133,13301,Colina,68,39.3844437386058,55,4,4,5
25593,9,MARY ANNE SCHOOL DE QUILICURA,Particular Subvencionado,Urbano,13,131,13125,Quilicura,89,40.2440312286482,69,9,6,5
25599,8,COLEGIO PART. SAN PEDRO DE QUILICURA,Particular Subvencionado,Urbano,13,131,13125,Quilicura,167,44.8775454716603,76,16,16,59
25609,9,COLEGIO PADRE CHAMINADE,Particular Subvencionado,Urbano,13,131,13110,La Florida,48,37.3865786008489,43,1,3,1
25613,7,COLEGIO BICENTENARIO DE EXCELENCIA PEDRO APOSTOL,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,173,40.5671420704104,119,10,24,20
25615,3,COLEGIO POLIVALENTE SAINT PETER COLLEGE,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,84,43.5781764676588,44,7,10,23
25624,2,ESC. BAS. Y ESP. NUEVA INTEGRAL ALTAZOR,Particular Subvencionado,Urbano,13,136,13605,Peñaflor,62,40.3296741931657,39,8,5,10
25625,0,COLEGIO PART. SWEDENBORG COLLEGE,Particular Subvencionado,Urbano,13,131,13118,Macul,47,37.19325174223,45,1,1,0
25639,0,ESCUELA BASICA Y ESPECIAL N° 1905 JACARANDA,Particular Subvencionado,Urbano,13,131,13128,Renca,80,38.2398842715886,72,3,1,4
25642,0,ESCUELA BAS. MUNIC. CUYUNCAVI,Municipal DAEM,Urbano,13,135,13503,Curacaví,56,39.7157607087389,38,3,6,9
25644,7,COLEGIO PART. NEW LITTLE COLLEGE,Particular Subvencionado,Urbano,13,131,13110,La Florida,79,36.3682533957672,70,5,3,1
25647,1,ESC. BAS Y ESP. N° 113 SAN LORENZO DE ISLA DE MAIPO,Particular Subvencionado,Urbano,13,136,13603,Isla de Maipo,45,39.9967467664919,35,3,7,0
25652,8,ESCUELA ESPECIAL HOSPITAL FELIX BULNES,Particular Subvencionado,Urbano,13,131,13123,Providencia,96,41.0564503096785,7,0,1,1
25655,2,COLEGIO SANTO TOMAS DE AQUINO,Particular Subvencionado,Urbano,13,131,13105,El Bosque,143,37.78268926033,125,11,4,3
25674,9,ESCUELA INSTITUTO RAMON FREIRE,Particular Subvencionado,Urbano,13,131,13119,Maipú,78,36.612757964209,73,4,0,1
25676,5,COLEGIO POLIVALENTE ELISA VALDES,Particular Subvencionado,Urbano,13,132,13201,Puente Alto,152,40.5545665766244,105,12,19,16
25681,1,COLEGIO OXFORD,Particular Subvencionado,Urbano,13,131,13119,Maipú,66,38.8599250507867,57,3,1,5
25692,7,COLEGIO PART. MANSO DE VELASCO MELIPILLA,Particular Subvencionado,Urbano,13,135,13501,Melipilla,63,40.8404158656835,41,9,7,6
25693,5,COLEGIO MADRE DE LA DIVINA PROVIDENC,Particular Subvencionado,Urbano,13,131,13118,Macul,90,35.1586707744578,88,0,2,0
25695,1,COLEGIO DE LA INMACULADA CONCEPCIÓN,Particular Subvencionado,Urbano,13,134,13401,San Bernardo,137,35.6420191226111,134,2,0,1
25697,8,COLEGIO O`HIGGINS,Particular Subvencionado,Urbano,13,135,13501,Melipilla,70,35.3441727541033,68,2,0,0
25698,6,COLEGIO CORDILLERA DE LOS ANDES,Servicio Local de Educación(SLE),Urbano,13,134,13401,San Bernardo,120,40.3659192815637,86,11,6,17
